SEQ;ROW;COL;TUBE
1;E;1;TUBE.39
2;E;3;TUBE.40
3;D;2;TUBE.30
4;C;1;TUBE.20
5;C;3;TUBE.21
6;B;2;TUBE.11
7;A;3;TUBE.3
8;A;1;TUBE.1
9;E;24;TUBE.137
10;E;26;TUBE.138
11;E;28;TUBE.139
12;E;30;TUBE.140
13;E;32;TUBE.141
14;E;34;TUBE.142
15;E;36;TUBE.143
16;E;37;TUBE.233
17;E;39;TUBE.234
18;E;41;TUBE.235
19;D;40;TUBE.225
20;D;38;TUBE.224
21;D;35;TUBE.134
22;D;33;TUBE.133
23;D;31;TUBE.132
24;D;29;TUBE.131
25;D;27;TUBE.130
26;D;25;TUBE.129
27;C;24;TUBE.120
28;C;26;TUBE.121
29;C;28;TUBE.122
30;C;30;TUBE.123
31;C;32;TUBE.124
32;C;34;TUBE.125
33;C;36;TUBE.126
34;C;37;TUBE.214
35;C;39;TUBE.215
36;C;41;TUBE.216
37;B;40;TUBE.206
38;B;38;TUBE.205
39;B;35;TUBE.117
40;B;33;TUBE.116
41;B;31;TUBE.115
42;B;29;TUBE.114
43;B;27;TUBE.113
44;B;25;TUBE.112
45;A;24;TUBE.103
46;A;26;TUBE.104
47;A;28;TUBE.105
48;A;30;TUBE.106
49;A;32;TUBE.107
50;A;34;TUBE.108
51;A;36;TUBE.109
52;A;37;TUBE.195
53;A;39;TUBE.196
54;A;41;TUBE.197
