SEQ;ROW;COL;TUBE
1;56;1;TUBE.28
2;58;1;TUBE.29
3;60;1;TUBE.30
4;62;1;TUBE.31
5;64;1;TUBE.32
6;57;2;TUBE.115
7;59;2;TUBE.116
8;61;2;TUBE.117
9;63;2;TUBE.118
10;56;3;TUBE.202
11;58;3;TUBE.203
12;60;3;TUBE.204
13;62;3;TUBE.205
14;64;3;TUBE.206
15;59;4;TUBE.288
16;59;4;TUBE.289
17;61;4;TUBE.290
18;63;4;TUBE.291
19;56;5;TUBE.374
20;58;5;TUBE.375
21;60;5;TUBE.376
22;62;5;TUBE.377
23;64;5;TUBE.378
24;57;6;TUBE.460
25;59;6;TUBE.461
26;61;6;TUBE.462
27;63;6;TUBE.463
28;56;7;TUBE.545
29;58;7;TUBE.546
30;60;7;TUBE.547
31;62;7;TUBE.548
32;64;7;TUBE.549
33;57;8;TUBE.629
34;59;8;TUBE.630
35;61;8;TUBE.631
36;63;8;TUBE.632
37;56;9;TUBE.712
38;58;9;TUBE.713
39;60;9;TUBE.714
40;62;9;TUBE.715
41;64;9;TUBE.716
42;57;10;TUBE.794
43;59;10;TUBE.795
44;61;10;TUBE.796
45;63;10;TUBE.797
46;56;11;TUBE.875
47;58;11;TUBE.876
48;60;11;TUBE.877
49;62;11;TUBE.878
50;64;11;TUBE.879
51;57;12;TUBE.956
52;59;12;TUBE.957
53;61;12;TUBE.958
54;63;12;TUBE.959
