x_label;y_label;hl_x;hl_y;cl_x;cl_y;tube_id
22;A;14,5838;4,5;14,5838;-4,5;TUBE.102
24;A;15,9096;4,5;15,9096;-4,5;TUBE.103
26;A;17,2354;4,5;17,2354;-4,5;TUBE.104
28;A;18,5612;4,5;18,5612;-4,5;TUBE.105
30;A;19887;4,5;19887;-4,5;TUBE.106
32;A;21,2128;4,5;21,2128;-4,5;TUBE.107
34;A;22,5386;4,5;22,5386;-4,5;TUBE.108
36;A;23,8644;4,5;23,8644;-4,5;TUBE.109
21;B;13,9209;5,1629;13,9209;-5,1629;TUBE.110
23;B;15,2467;5,1629;15,2467;-5,1629;TUBE.111
25;B;16,5725;5,1629;16,5725;-5,1629;TUBE.112
27;B;17,8983;5,1629;17,8983;-5,1629;TUBE.113
29;B;19,2241;5,1629;19,2241;-5,1629;TUBE.114
31;B;20,5499;5,1629;20,5499;-5,1629;TUBE.115
33;B;21,8757;5,1629;21,8757;-5,1629;TUBE.116
35;B;23,2015;5,1629;23,2015;-5,1629;TUBE.117
20;C;13258;5,8258;13258;-5,8258;TUBE.118
22;C;14,5838;5,8258;14,5838;-5,8258;TUBE.119
24;C;15,9096;5,8258;15,9096;-5,8258;TUBE.120
26;C;17,2354;5,8258;17,2354;-5,8258;TUBE.121
28;C;18,5612;5,8258;18,5612;-5,8258;TUBE.122
30;C;19887;5,8258;19887;-5,8258;TUBE.123
32;C;21,2128;5,8258;21,2128;-5,8258;TUBE.124
34;C;22,5386;5,8258;22,5386;-5,8258;TUBE.125
36;C;23,8644;5,8258;23,8644;-5,8258;TUBE.126
21;D;13,9209;6,4887;13,9209;-6,4887;TUBE.127
23;D;15,2467;6,4887;15,2467;-6,4887;TUBE.128
25;D;16,5725;6,4887;16,5725;-6,4887;TUBE.129
27;D;17,8983;6,4887;17,8983;-6,4887;TUBE.130
29;D;19,2241;6,4887;19,2241;-6,4887;TUBE.131
31;D;20,5499;6,4887;20,5499;-6,4887;TUBE.132
33;D;21,8757;6,4887;21,8757;-6,4887;TUBE.133
35;D;23,2015;6,4887;23,2015;-6,4887;TUBE.134
20;E;13258;7,1516;13258;-7,1516;TUBE.135
22;E;14,5838;7,1516;14,5838;-7,1516;TUBE.136
24;E;15,9096;7,1516;15,9096;-7,1516;TUBE.137
26;E;17,2354;7,1516;17,2354;-7,1516;TUBE.138
28;E;18,5612;7,1516;18,5612;-7,1516;TUBE.139
30;E;19887;7,1516;19887;-7,1516;TUBE.140
32;E;21,2128;7,1516;21,2128;-7,1516;TUBE.141
34;E;22,5386;7,1516;22,5386;-7,1516;TUBE.142
36;E;23,8644;7,1516;23,8644;-7,1516;TUBE.143
21;F;13,9209;7,8145;13,9209;-7,8145;TUBE.144
23;F;15,2467;7,8145;15,2467;-7,8145;TUBE.145
25;F;16,5725;7,8145;16,5725;-7,8145;TUBE.146
27;F;17,8983;7,8145;17,8983;-7,8145;TUBE.147
29;F;19,2241;7,8145;19,2241;-7,8145;TUBE.148
31;F;20,5499;7,8145;20,5499;-7,8145;TUBE.149
33;F;21,8757;7,8145;21,8757;-7,8145;TUBE.150
35;F;23,2015;7,8145;23,2015;-7,8145;TUBE.151
20;G;13258;8,4774;13258;-8,4774;TUBE.152
22;G;14,5838;8,4774;14,5838;-8,4774;TUBE.153
24;G;15,9096;8,4774;15,9096;-8,4774;TUBE.154
26;G;17,2354;8,4774;17,2354;-8,4774;TUBE.155
28;G;18,5612;8,4774;18,5612;-8,4774;TUBE.156
30;G;19887;8,4774;19887;-8,4774;TUBE.157
32;G;21,2128;8,4774;21,2128;-8,4774;TUBE.158
34;G;22,5386;8,4774;22,5386;-8,4774;TUBE.159
36;G;23,8644;8,4774;23,8644;-8,4774;TUBE.160
21;H;13,9209;9,1403;13,9209;-9,1403;TUBE.161
23;H;15,2467;9,1403;15,2467;-9,1403;TUBE.162
25;H;16,5725;9,1403;16,5725;-9,1403;TUBE.163
27;H;17,8983;9,1403;17,8983;-9,1403;TUBE.164
29;H;19,2241;9,1403;19,2241;-9,1403;TUBE.165
31;H;20,5499;9,1403;20,5499;-9,1403;TUBE.166
33;H;21,8757;9,1403;21,8757;-9,1403;TUBE.167
35;H;23,2015;9,1403;23,2015;-9,1403;TUBE.168
20;I;13258;9,8032;13258;-9,8032;TUBE.169
22;I;14,5838;9,8032;14,5838;-9,8032;TUBE.170
24;I;15,9096;9,8032;15,9096;-9,8032;TUBE.171
26;I;17,2354;9,8032;17,2354;-9,8032;TUBE.172
28;I;18,5612;9,8032;18,5612;-9,8032;TUBE.173
30;I;19887;9,8032;19887;-9,8032;TUBE.174
32;I;21,2128;9,8032;21,2128;-9,8032;TUBE.175
34;I;22,5386;9,8032;22,5386;-9,8032;TUBE.176
36;I;23,8644;9,8032;23,8644;-9,8032;TUBE.177
21;J;13,9209;10,4661;13,9209;-10,4661;TUBE.178
23;J;15,2467;10,4661;15,2467;-10,4661;TUBE.179
25;J;16,5725;10,4661;16,5725;-10,4661;TUBE.180
27;J;17,8983;10,4661;17,8983;-10,4661;TUBE.181
29;J;19,2241;10,4661;19,2241;-10,4661;TUBE.182
31;J;20,5499;10,4661;20,5499;-10,4661;TUBE.183
33;J;21,8757;10,4661;21,8757;-10,4661;TUBE.184
35;J;23,2015;10,4661;23,2015;-10,4661;TUBE.185
20;K;13258;6633,5;13258;-6633,5;TUBE.186
22;K;14,5838;6633,5;14,5838;-6633,5;TUBE.187
24;K;15,9096;6633,5;15,9096;-6633,5;TUBE.188
26;K;17,2354;6633,5;17,2354;-6633,5;TUBE.189
28;K;18,5612;6633,5;18,5612;-6633,5;TUBE.190
30;K;19887;6633,5;19887;-6633,5;TUBE.191
32;K;21,2128;6633,5;21,2128;-6633,5;TUBE.192
34;K;22,5386;6633,5;22,5386;-6633,5;TUBE.193
36;K;23,8644;6633,5;23,8644;-6633,5;TUBE.194
37;A;25,1902;4,5;25,1902;-4,5;TUBE.195
39;A;26516;4,5;26516;-4,5;TUBE.196
41;A;27,8418;4,5;27,8418;-4,5;TUBE.197
43;A;29,1676;4,5;29,1676;-4,5;TUBE.198
45;A;30,4934;4,5;30,4934;-4,5;TUBE.199
47;A;31,8192;4,5;31,8192;-4,5;TUBE.200
49;A;33145;4,5;33145;-4,5;TUBE.201
51;A;34,4708;4,5;34,4708;-4,5;TUBE.202
53;A;35,7966;4,5;35,7966;-4,5;TUBE.203
55;A;37,1224;4,5;37,1224;-4,5;TUBE.204
38;B;25,8531;5,1629;25,8531;-5,1629;TUBE.205
40;B;27,1789;5,1629;27,1789;-5,1629;TUBE.206
42;B;28,5047;5,1629;28,5047;-5,1629;TUBE.207
44;B;29,8305;5,1629;29,8305;-5,1629;TUBE.208
46;B;31,1563;5,1629;31,1563;-5,1629;TUBE.209
48;B;32,4821;5,1629;32,4821;-5,1629;TUBE.210
50;B;33,8079;5,1629;33,8079;-5,1629;TUBE.211
52;B;35,1337;5,1629;35,1337;-5,1629;TUBE.212
54;B;36,4595;5,1629;36,4595;-5,1629;TUBE.213
37;C;25,1902;5,8258;25,1902;-5,8258;TUBE.214
39;C;26516;5,8258;26516;-5,8258;TUBE.215
41;C;27,8418;5,8258;27,8418;-5,8258;TUBE.216
43;C;29,1676;5,8258;29,1676;-5,8258;TUBE.217
45;C;30,4934;5,8258;30,4934;-5,8258;TUBE.218
47;C;31,8192;5,8258;31,8192;-5,8258;TUBE.219
49;C;33145;5,8258;33145;-5,8258;TUBE.220
51;C;34,4708;5,8258;34,4708;-5,8258;TUBE.221
53;C;35,7966;5,8258;35,7966;-5,8258;TUBE.222
55;C;37,1224;5,8258;37,1224;-5,8258;TUBE.223
38;D;25,8531;6,4887;25,8531;-6,4887;TUBE.224
40;D;27,1789;6,4887;27,1789;-6,4887;TUBE.225
42;D;28,5047;6,4887;28,5047;-6,4887;TUBE.226
44;D;29,8305;6,4887;29,8305;-6,4887;TUBE.227
46;D;31,1563;6,4887;31,1563;-6,4887;TUBE.228
48;D;32,4821;6,4887;32,4821;-6,4887;TUBE.229
50;D;33,8079;6,4887;33,8079;-6,4887;TUBE.230
52;D;35,1337;6,4887;35,1337;-6,4887;TUBE.231
54;D;36,4595;6,4887;36,4595;-6,4887;TUBE.232
37;E;25,1902;7,1516;25,1902;-7,1516;TUBE.233
39;E;26516;7,1516;26516;-7,1516;TUBE.234
41;E;27,8418;7,1516;27,8418;-7,1516;TUBE.235
43;E;29,1676;7,1516;29,1676;-7,1516;TUBE.236
45;E;30,4934;7,1516;30,4934;-7,1516;TUBE.237
47;E;31,8192;7,1516;31,8192;-7,1516;TUBE.238
49;E;33145;7,1516;33145;-7,1516;TUBE.239
51;E;34,4708;7,1516;34,4708;-7,1516;TUBE.240
53;E;35,7966;7,1516;35,7966;-7,1516;TUBE.241
55;E;37,1224;7,1516;37,1224;-7,1516;TUBE.242
38;F;25,8531;7,8145;25,8531;-7,8145;TUBE.243
40;F;27,1789;7,8145;27,1789;-7,8145;TUBE.244
42;F;28,5047;7,8145;28,5047;-7,8145;TUBE.245
44;F;29,8305;7,8145;29,8305;-7,8145;TUBE.246
46;F;31,1563;7,8145;31,1563;-7,8145;TUBE.247
48;F;32,4821;7,8145;32,4821;-7,8145;TUBE.248
50;F;33,8079;7,8145;33,8079;-7,8145;TUBE.249
52;F;35,1337;7,8145;35,1337;-7,8145;TUBE.250
54;F;36,4595;7,8145;36,4595;-7,8145;TUBE.251
37;G;25,1902;8,4774;25,1902;-8,4774;TUBE.252
39;G;26516;8,4774;26516;-8,4774;TUBE.253
41;G;27,8418;8,4774;27,8418;-8,4774;TUBE.254
43;G;29,1676;8,4774;29,1676;-8,4774;TUBE.255
45;G;30,4934;8,4774;30,4934;-8,4774;TUBE.256
47;G;31,8192;8,4774;31,8192;-8,4774;TUBE.257
49;G;33145;8,4774;33145;-8,4774;TUBE.258
51;G;34,4708;8,4774;34,4708;-8,4774;TUBE.259
53;G;35,7966;8,4774;35,7966;-8,4774;TUBE.260
