SEQ;ROW;COL;TUBE
1;E;43;TUBE.236
2;E;45;TUBE.237
3;E;47;TUBE.238
4;E;49;TUBE.239
5;E;51;TUBE.240
6;E;53;TUBE.241
7;E;55;TUBE.242
8;D;54;TUBE.232
9;D;52;TUBE.231
10;D;50;TUBE.230
11;D;48;TUBE.229
12;D;46;TUBE.228
13;D;44;TUBE.227
14;D;42;TUBE.226
15;C;43;TUBE.217
16;C;45;TUBE.218
17;C;47;TUBE.219
18;C;49;TUBE.220
19;C;51;TUBE.221
20;C;53;TUBE.222
21;C;55;TUBE.223
22;B;54;TUBE.213
23;B;52;TUBE.212
24;B;50;TUBE.211
25;B;48;TUBE.210
26;B;46;TUBE.209
27;B;44;TUBE.208
28;B;42;TUBE.207
29;A;43;TUBE.198
30;A;45;TUBE.199
31;A;47;TUBE.200
32;A;49;TUBE.201
33;A;51;TUBE.202
34;A;53;TUBE.203
35;A;55;TUBE.204
36;E;5;TUBE.41
37;E;7;TUBE.42
38;E;9;TUBE.43
39;E;11;TUBE.44
40;E;13;TUBE.45
41;E;15;TUBE.46
42;E;17;TUBE.47
43;E;19;TUBE.48
44;E;20;TUBE.135
45;E;22;TUBE.136
46;D;23;TUBE.128
47;D;21;TUBE.127
48;D;18;TUBE.38
49;D;16;TUBE.37
50;D;14;TUBE.36
51;D;12;TUBE.35
52;D;10;TUBE.34
53;D;8;TUBE.33
54;D;6;TUBE.32
55;D;4;TUBE.31
56;C;5;TUBE.22
57;C;7;TUBE.23
58;C;9;TUBE.24
59;C;11;TUBE.25
60;C;13;TUBE.26
61;C;15;TUBE.27
62;C;17;TUBE.28
63;C;19;TUBE.29
64;C;20;TUBE.118
65;C;22;TUBE.119
66;B;23;TUBE.111
67;B;21;TUBE.110
68;B;18;TUBE.19
69;B;16;TUBE.18
70;B;14;TUBE.17
71;B;12;TUBE.16
72;B;10;TUBE.15
73;B;8;TUBE.14
74;B;6;TUBE.13
75;B;4;TUBE.12
76;A;5;TUBE.3
77;A;7;TUBE.4
78;A;9;TUBE.5
79;A;11;TUBE.6
80;A;13;TUBE.7
81;A;15;TUBE.8
82;A;17;TUBE.9
83;A;19;TUBE.10
84;A;20;TUBE.101
85;A;22;TUBE.102
