x_label;y_label;cl_x;cl_y;hl_x;hl_y;tube_id
63;2;47,156;1,407;25,594;1,407;TUBE.118
65;2;46,344;1,407;26,406;1,407;TUBE.119
67;2;45,531;1,407;27,219;1,407;TUBE.120
69;2;44,719;1,407;28,031;1,407;TUBE.121
71;2;43,906;1,407;28,844;1,407;TUBE.122
73;2;43,094;1,407;29,656;1,407;TUBE.123
75;2;42,281;1,407;30,469;1,407;TUBE.124
77;2;41,469;1,407;31,281;1,407;TUBE.125
79;2;40,656;1,407;32,094;1,407;TUBE.126
81;2;39,844;1,407;32,906;1,407;TUBE.127
83;2;39,031;1,407;33,719;1,407;TUBE.128
85;2;38,219;1,407;34,531;1,407;TUBE.129
87;2;37,406;1,407;35,344;1,407;TUBE.130
89;2;35,344;1,407;37,406;1,407;TUBE.131
91;2;34,531;1,407;38,219;1,407;TUBE.132
93;2;33,719;1,407;39,031;1,407;TUBE.133
95;2;32,906;1,407;39,844;1,407;TUBE.134
97;2;32,094;1,407;40,656;1,407;TUBE.135
99;2;31,281;1,407;41,469;1,407;TUBE.136
101;2;30,469;1,407;42,281;1,407;TUBE.137
103;2;29,656;1,407;43,094;1,407;TUBE.138
105;2;28,844;1,407;43,906;1,407;TUBE.139
107;2;28,031;1,407;44,719;1,407;TUBE.140
109;2;27,219;1,407;45,531;1,407;TUBE.141
111;2;26,406;1,407;46,344;1,407;TUBE.142
113;2;25,594;1,407;47,156;1,407;TUBE.143
115;2;24,781;1,407;47,969;1,407;TUBE.144
117;2;23,969;1,407;48,781;1,407;TUBE.145
119;2;23,156;1,407;49,594;1,407;TUBE.146
121;2;22,344;1,407;50,406;1,407;TUBE.147
123;2;21,531;1,407;51,219;1,407;TUBE.148
125;2;20,719;1,407;52,031;1,407;TUBE.149
127;2;19,906;1,407;52,844;1,407;TUBE.150
129;2;19,094;1,407;53,656;1,407;TUBE.151
131;2;18,281;1,407;54,469;1,407;TUBE.152
133;2;17,469;1,407;55,281;1,407;TUBE.153
135;2;16,656;1,407;56,094;1,407;TUBE.154
137;2;15,844;1,407;56,906;1,407;TUBE.155
139;2;15,031;1,407;57,719;1,407;TUBE.156
141;2;14,219;1,407;58,531;1,407;TUBE.157
143;2;13,406;1,407;59,344;1,407;TUBE.158
145;2;12,594;1,407;60,156;1,407;TUBE.159
147;2;11,781;1,407;60,969;1,407;TUBE.160
149;2;10,969;1,407;61,781;1,407;TUBE.161
151;2;10,156;1,407;62,594;1,407;TUBE.162
153;2;9,344;1,407;63,406;1,407;TUBE.163
155;2;8,531;1,407;64,219;1,407;TUBE.164
157;2;7,719;1,407;65,031;1,407;TUBE.165
159;2;6,906;1,407;65,844;1,407;TUBE.166
161;2;6,094;1,407;66,656;1,407;TUBE.167
163;2;5,281;1,407;67,469;1,407;TUBE.168
165;2;4,469;1,407;68,281;1,407;TUBE.169
167;2;3,656;1,407;69,094;1,407;TUBE.170
169;2;2,844;1,407;69,906;1,407;TUBE.171
171;2;2,031;1,407;70,719;1,407;TUBE.172
173;2;1,219;1,407;71,531;1,407;TUBE.173
175;2;0,406;1,407;72,344;1,407;TUBE.174
2;3;71,938;2,111;0,812;2,111;TUBE.175
4;3;71,125;2,111;1,625;2,111;TUBE.176
6;3;70,312;2,111;2,438;2,111;TUBE.177
8;3;69,5;2,111;3,25;2,111;TUBE.178
10;3;68,688;2,111;4,062;2,111;TUBE.179
12;3;67,875;2,111;4,875;2,111;TUBE.180
14;3;67,062;2,111;5,688;2,111;TUBE.181
16;3;66,25;2,111;6,5;2,111;TUBE.182
18;3;65,438;2,111;7,312;2,111;TUBE.183
20;3;64,625;2,111;8,125;2,111;TUBE.184
22;3;63,812;2,111;8,938;2,111;TUBE.185
24;3;63;2,111;9,75;2,111;TUBE.186
26;3;62,188;2,111;10,562;2,111;TUBE.187
