SEQ;ROW;COL;TUBE
1;160;1;TUBE.79
2;162;1;TUBE.80
3;164;1;TUBE.81
4;166;1;TUBE.82
5;168;1;TUBE.83
6;170;1;TUBE.84
7;172;1;TUBE.85
8;174;1;TUBE.86
9;161;2;TUBE.167
10;163;2;TUBE.168
11;165;2;TUBE.169
12;167;2;TUBE.170
13;169;2;TUBE.171
14;171;2;TUBE.172
15;173;2;TUBE.173
16;175;2;TUBE.174
17;160;3;TUBE.253
18;162;3;TUBE.254
19;164;3;TUBE.255
20;166;3;TUBE.256
21;168;3;TUBE.257
22;170;3;TUBE.258
23;172;3;TUBE.259
24;174;3;TUBE.260
25;173;4;TUBE.346
26;174;5;TUBE.432
27;173;6;TUBE.518
28;172;7;TUBE.602
29;171;8;TUBE.686
30;170;9;TUBE.768
31;169;10;TUBE.850
32;168;11;TUBE.930
33;169;12;TUBE.1012
34;168;13;TUBE.1092
35;167;14;TUBE.1172
36;166;15;TUBE.1250
37;165;16;TUBE.1328
38;164;17;TUBE.1404
39;163;18;TUBE.1480
40;162;19;TUBE.1554
41;161;20;TUBE.1628
